2025-11-08 18:04:07,284 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,288 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,288 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,289 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,292 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,292 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,302 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,306 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,306 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,319 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,323 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,323 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,324 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,339 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,339 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,344 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,351 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,351 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,352 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,356 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,356 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:07,861 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:07,865 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:07,865 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:08,648 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:16,982 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:16,983 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:16,984 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:16,991 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:16,991 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:16,992 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:16,998 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:16,998 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:16,999 INFO    MainThread:79102 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:04:17,004 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:04:17,004 INFO    MainThread:79102 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:04:17,007 INFO    MainThread:79102 [wandb_run.py:_finish():2272] finishing run amal-akhmadinurov-stu/zneus-project-1-binary/uqjlp7oe
2025-11-08 18:04:17,054 INFO    MainThread:79102 [jupyter.py:save_history():429] not saving jupyter history
2025-11-08 18:04:17,054 INFO    MainThread:79102 [jupyter.py:save_ipynb():353] not saving jupyter notebook
2025-11-08 18:04:17,054 INFO    MainThread:79102 [wandb_init.py:_jupyter_teardown():610] cleaning up jupyter logic
2025-11-08 18:04:17,054 INFO    MainThread:79102 [wandb_run.py:_atexit_cleanup():2471] got exitcode: 0
2025-11-08 18:04:17,054 INFO    MainThread:79102 [wandb_run.py:_restore():2453] restore
2025-11-08 18:04:17,054 INFO    MainThread:79102 [wandb_run.py:_restore():2459] restore done
2025-11-08 18:04:18,225 INFO    MainThread:79102 [wandb_run.py:_footer_sync_info():3835] logging synced files
